combo,n_strats,risks,breaker,smart,search_n,search_pass60,search_fail60,search_med
NDX100:L6 | US30:L7,2,500/500,2000.0,,82,0.037,0.0,53.0
NDX100:L6 | US30:L7,2,500/500,,,82,0.037,0.0,53.0
SPX500:S21,1,750,2000.0,,82,0.024,0.0,56.5
SPX500:S21,1,750,2000.0,near,82,0.024,0.0,56.5
SPX500:S21,1,750,,,82,0.024,0.0,56.5
SPX500:S21,1,750,,near,82,0.024,0.0,56.5
NDX100:L6 | US30:L7,2,500/500,2000.0,near,82,0.024,0.0,54.5
NDX100:L6 | US30:L7,2,500/500,,near,82,0.024,0.0,54.5
SPX500:S21 | US30:L7,2,500/500,2000.0,near,82,0.024,0.024,53.5
SPX500:S21 | US30:L7,2,500/500,,near,82,0.024,0.024,53.5
SPX500:S42,1,500,2000.0,,82,0.0,0.0,
SPX500:S42,1,500,2000.0,near,82,0.0,0.0,
SPX500:S42,1,500,,,82,0.0,0.0,
SPX500:S42,1,500,,near,82,0.0,0.0,
NDX100:S24,1,500,2000.0,,82,0.0,0.0,
NDX100:S24,1,500,2000.0,near,82,0.0,0.0,
NDX100:S24,1,500,,,82,0.0,0.0,
NDX100:S24,1,500,,near,82,0.0,0.0,
SPX500:S21,1,500,2000.0,,82,0.0,0.0,
SPX500:S21,1,500,2000.0,near,82,0.0,0.0,
SPX500:S21,1,500,,,82,0.0,0.0,
SPX500:S21,1,500,,near,82,0.0,0.0,
SPX500:S24,1,500,2000.0,,82,0.0,0.0,
SPX500:S24,1,500,2000.0,near,82,0.0,0.0,
SPX500:S24,1,500,,,82,0.0,0.0,
SPX500:S24,1,500,,near,82,0.0,0.0,
NDX100:L6,1,500,2000.0,,82,0.0,0.0,
NDX100:L6,1,500,2000.0,near,82,0.0,0.0,
NDX100:L6,1,500,,,82,0.0,0.0,
NDX100:L6,1,500,,near,82,0.0,0.0,
US30:L7,1,500,2000.0,,82,0.0,0.0,
US30:L7,1,500,2000.0,near,82,0.0,0.0,
US30:L7,1,500,,,82,0.0,0.0,
US30:L7,1,500,,near,82,0.0,0.0,
SPX500:S42 | US30:L7,2,500/500,2000.0,,82,0.0,0.0,
SPX500:S42 | US30:L7,2,500/500,2000.0,near,82,0.0,0.0,
SPX500:S42 | US30:L7,2,500/500,,,82,0.0,0.0,
SPX500:S42 | US30:L7,2,500/500,,near,82,0.0,0.0,
US30:L7,1,750,2000.0,,82,0.0,0.049,
US30:L7,1,750,2000.0,near,82,0.0,0.049,
US30:L7,1,750,,,82,0.0,0.049,
US30:L7,1,750,,near,82,0.0,0.049,
US30:L7,1,1000,2000.0,near,82,0.0,0.098,
US30:L7,1,1000,,near,82,0.0,0.098,
US30:L7,1,1500,2000.0,near,82,0.0,0.244,
US30:L7,1,1500,,near,82,0.0,0.244,
